Черный;0,0,0;0,0,0;0,0,0,100;000000
Темно-синий (цвет формы морских офицеров);240,100,50;0,0,128;100,100,0,50;000080
Темно-синий,ультрамариновый;240,100,55;0,0,139;100,100,0,45;00008B
Синий;240,100,100;0,0,255;100,100,0,0;0000FF
Очень темный синевато-зеленый;170,100,11;0,29,24;100,0,17,89;001D18
Темно-синий;204,100,22;0,33,55;100,40,0,78;002137
Очень глубокий желтовато-зеленый;120,100,16;0,40,0;100,0,100,84;002800
Глубокий синий;207,100,33;0,47,85;100,45,0,67;002F55
Берлинская лазурь;205,100,33;0,49,83;100,41,0,67;003153
Полуночно-синий;210,100,40;0,51,102;100,50,0,60;003366
Синяя пыль;220,100,60;0,51,153;100,67,0,40;003399
Глубокий синевато-зеленый;166,100,22;0,56,43;100,0,23,78;00382B
Темный зеленовато-синий;188,100,25;0,56,65;100,14,0,75;003841
Мертвенный индиго;203,100,42;0,65,106;100,39,0,58;00416A
Глубокий зеленый;151,100,27;0,69,36;100,0,48,73;004524
Кобальт синий;215,100,67;0,71,171;100,58,0,33;0047AB
Зеленый орел;187,100,33;0,73,83;100,12,0,67;004953
Насыщенный синий;204,100,54;0,83,138;100,40,0,46;00538A
Глубокий желтовато-зеленый;142,100,33;0,84,31;100,0,63,67;00541F
Темно-зеленый,травяной;120,100,39;0,100,0;100,0,100,61;006400
Зеленый Мичиганского государственного университета;150,100,40;0,102,51;100,0,50,60;006633
Насыщенный зеленовато-синий;191,100,49;0,103,126;100,18,0,51;00677E
Средний персидский синий;203,100,65;0,103,165;100,38,0,35;0067A5
Дартмутский зеленый;155,100,41;0,105,62;100,0,41,59;00693E
Насыщенный зеленый;154,100,42;0,107,60;100,0,44,58;006B3C
Насыщенный синевато-зеленый;170,100,43;0,109,91;100,0,17,57;006D5B
Лазурно-серый (Зеленовато-синий);196,100,65;0,123,167;100,26,0,35;007BA7
Ярко-синий;197,100,68;0,124,173;100,28,0,32;007CAD
Яркий зеленый;145,100,49;0,125,52;100,0,58,51;007D34
Синий Градуса;211,100,100;0,125,255;100,51,0,0;007DFF
Лазурный;210,100,100;0,127,255;100,50,0,0;007FFF
Зеленый;120,100,50;0,128,0;100,0,100,50;008000
Сине-зеленый цвета окраски чирка (птица));180,100,50;0,128,128;100,0,0,50;008080
Яркий синевато-зеленый;170,100,51;0,131,110;100,0,16,49;00836E
Темный циан;180,100,55;0,139,139;100,0,0,45;008B8B
Воды пляжа Бонди;191,100,71;0,149,182;100,18,0,29;0095B6
Мусульманский зеленый;120,100,60;0,153,0;100,0,100,40;009900
Зеленый трилистник;159,100,60;0,154,99;100,0,36,40;009A63
Блестящий синевато-зеленый;166,100,61;0,155,118;100,0,24,39;009B76
Пигментный зеленый;149,100,65;0,165,80;100,0,52,35;00A550
Персидский зеленый;173,100,65;0,166,147;100,0,11,35;00A693
Нефритовый;158,100,66;0,168,107;100,0,36,34;00A86B
Голубой;195,100,100;0,191,255;100,25,0,0;00BFFF
Цвет яйца дрозда;180,100,80;0,204,204;100,0,0,20;00CCCC
Умеренный весенний зеленый;157,100,98;0,250,154;100,0,38,2;00FA9A
